Date,SKU,Region,Demand,Price,Promo_Flag,Holiday_Flag
2024-01-01,SKU123,North,507,9.87,0,0
2024-01-02,SKU123,North,500,10.23,0,0
2024-01-03,SKU123,North,513,9.33,0,0
2024-01-04,SKU123,North,529,9.49,0,0
2024-01-05,SKU123,North,504,10.06,0,0
2024-01-06,SKU123,North,506,9.38,0,0
2024-01-07,SKU123,North,535,10.97,0,0
2024-01-08,SKU123,North,525,9.92,0,0
2024-01-09,SKU123,North,507,9.55,0,0
2024-01-10,SKU123,North,524,9.59,0,0
2024-01-11,SKU123,North,584,9.76,0,1
2024-01-12,SKU123,North,511,9.72,0,0
2024-01-13,SKU123,North,522,8.95,0,0
2024-01-14,SKU123,North,490,10.63,0,0
2024-01-15,SKU123,North,494,9.99,0,0
2024-01-16,SKU123,North,511,9.99,0,0
2024-01-17,SKU123,North,504,10.41,0,0
2024-01-18,SKU123,North,524,9.47,0,0
2024-01-19,SKU123,North,505,9.62,0,0
2024-01-20,SKU123,North,496,10.23,0,0
2024-01-21,SKU123,North,668,9.97,1,0
2024-01-22,SKU123,North,641,10.17,1,0
2024-01-23,SKU123,North,644,9.96,1,0
2024-01-24,SKU123,North,491,9.88,0,0
2024-01-25,SKU123,North,503,10.72,0,0
2024-01-26,SKU123,North,511,10.53,0,0
2024-01-27,SKU123,North,490,8.75,0,0
2024-01-28,SKU123,North,511,10.74,0,0
2024-01-29,SKU123,North,494,11.08,0,0
2024-01-30,SKU123,North,497,10.62,0,0
2024-01-31,SKU123,North,490,9.89,0,0
2024-02-01,SKU123,North,524,9.66,0,0
2024-02-02,SKU123,North,494,10.36,0,0
2024-02-03,SKU123,North,477,9.69,0,0
2024-02-04,SKU123,North,503,10.18,0,0
2024-02-05,SKU123,North,470,9.99,0,0
2024-02-06,SKU123,North,490,10.61,0,0
2024-02-07,SKU123,North,456,9.81,0,0
2024-02-08,SKU123,North,464,9.78,0,0
2024-02-09,SKU123,North,486,10.19,0,0
2024-02-10,SKU123,North,493,10.97,0,0
2024-02-11,SKU123,North,483,10.04,0,0
2024-02-12,SKU123,North,478,9.79,0,0
2024-02-13,SKU123,North,475,10.43,0,0
2024-02-14,SKU123,North,457,10.36,0,0
2024-02-15,SKU123,North,579,9.52,1,0
2024-02-16,SKU123,North,583,9.73,1,0
2024-02-17,SKU123,North,606,10.55,1,0
2024-02-18,SKU123,North,486,10.21,0,0
2024-02-19,SKU123,North,455,8.77,0,0
2024-02-20,SKU123,North,488,10.24,0,0
2024-02-21,SKU123,North,478,10.46,0,0
2024-02-22,SKU123,North,475,9.58,0,0
2024-02-23,SKU123,North,496,10.34,0,0
2024-02-24,SKU123,North,504,10.94,0,0
2024-02-25,SKU123,North,505,10.2,0,0
2024-02-26,SKU123,North,480,9.69,0,0
2024-02-27,SKU123,North,490,9.74,0,0
2024-02-28,SKU123,North,502,10.01,0,0
2024-02-29,SKU123,North,513,10.19,0,0
2024-03-01,SKU123,North,550,10.03,0,1
2024-03-02,SKU123,North,500,10.25,0,0
2024-03-03,SKU123,North,488,9.93,0,0
2024-03-04,SKU123,North,489,10.09,0,0
2024-03-05,SKU123,North,521,10.48,0,0
2024-03-06,SKU123,North,531,9.47,0,0
2024-03-07,SKU123,North,511,10.05,0,0
2024-03-08,SKU123,North,529,10.05,0,0
2024-03-09,SKU123,North,521,10.46,0,0
2024-03-10,SKU123,North,507,9.89,0,0
2024-03-11,SKU123,North,650,10.33,1,0
2024-03-12,SKU123,North,668,10.55,1,0
2024-03-13,SKU123,North,645,9.08,1,0
2024-03-14,SKU123,North,543,10.58,0,0
2024-03-15,SKU123,North,480,9.51,0,0
2024-03-16,SKU123,North,532,9.45,0,0
2024-03-17,SKU123,North,520,8.56,0,0
2024-03-18,SKU123,North,514,9.6,0,0
2024-03-19,SKU123,North,519,10.0,0,0
2024-03-20,SKU123,North,487,9.81,0,0
2024-03-21,SKU123,North,513,9.77,0,0
2024-03-22,SKU123,North,520,9.44,0,0
2024-03-23,SKU123,North,535,10.43,0,0
2024-03-24,SKU123,North,504,10.48,0,0
2024-03-25,SKU123,North,497,10.21,0,0
2024-03-26,SKU123,North,500,9.06,0,0
2024-03-27,SKU123,North,519,11.14,0,0
2024-03-28,SKU123,North,509,10.07,0,0
2024-03-29,SKU123,North,494,10.27,0,0
2024-03-30,SKU123,North,507,9.25,0,0
